Starting simulation. Press Ctrl-C to exit.
VCD info: dumpfile trace.vcd opened for output.
[   0] AD=xxxx DI=xx DO=xx WE=x sync=x reset=1
[   1] AD=xxxx DI=ff DO=xx WE=x sync=0 reset=1
[   2] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[   3] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[   4] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[   5] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[   6] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[   7] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[   8] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[   9] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[  10] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[  11] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[  12] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[  13] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[  14] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[  15] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=1
[  16] AD=xxxx DI=ff DO=xx WE=0 sync=0 reset=0
[  17] AD=fffc DI=ff DO=xx WE=0 sync=0 reset=0
[  18] AD=fffd DI=00 DO=ff WE=0 sync=0 reset=0
[  19] AD=8100 DI=81 DO=00 WE=0 sync=0 reset=0
[  20] AD=8101 DI=78 DO=81 WE=0 sync=1 reset=0
[  21] AD=8102 DI=a2 DO=7a WE=0 sync=1 reset=0
[  22] AD=8103 DI=ff DO=a2 WE=0 sync=0 reset=0
[  23] AD=8104 DI=9a DO=02 WE=0 sync=1 reset=0
[  24] AD=8105 DI=d8 DO=ff WE=0 sync=1 reset=0
[  25] AD=8106 DI=a2 DO=ff WE=0 sync=1 reset=0
[  26] AD=8107 DI=00 DO=ff WE=0 sync=0 reset=0
[  27] AD=8108 DI=bd DO=06 WE=0 sync=1 reset=0
[  28] AD=8109 DI=29 DO=00 WE=0 sync=0 reset=0
[  29] AD=8129 DI=81 DO=29 WE=0 sync=0 reset=0
